R,G,B
0.529217,0.625235,0.806561
0.530443,0.626354,0.807556
0.531047,0.626852,0.808213
0.531953,0.627722,0.809154
0.533249,0.628876,0.810344
0.536926,0.632233,0.813985
0.531775,0.627438,0.809083
0.527885,0.624045,0.805211
0.528241,0.624383,0.805549
0.528543,0.624756,0.805833
0.528933,0.625147,0.806437
0.529999,0.626017,0.807289
0.528347,0.624507,0.805673
0.528951,0.625075,0.806188
0.528010,0.624152,0.805282
0.528987,0.624951,0.806046
0.527281,0.623495,0.804590
0.527903,0.623992,0.805087
0.526908,0.623282,0.804270
0.525417,0.621807,0.802884
0.528241,0.624010,0.805087
0.530923,0.626035,0.807272
0.527939,0.623885,0.804963
0.528649,0.624702,0.805851
0.527868,0.624028,0.805051
0.527210,0.623406,0.804465
0.528596,0.624525,0.805584
0.528436,0.624330,0.805353
0.528489,0.624401,0.805407
0.529004,0.624827,0.805833
0.529129,0.625004,0.806028
0.529271,0.625306,0.806383
0.527317,0.623282,0.804412
0.526091,0.622287,0.803204
0.526429,0.622731,0.803559
0.525861,0.622163,0.803044
0.526535,0.622607,0.803524
0.525985,0.622251,0.803044
0.525896,0.622003,0.802867
0.526447,0.622500,0.803328
0.527015,0.622962,0.803790
0.526624,0.622695,0.803559
0.526802,0.622731,0.803542
0.527068,0.623033,0.803790
0.525949,0.622021,0.802778
0.526642,0.622642,0.803275
0.528081,0.623779,0.804518
0.527388,0.623086,0.803755
0.527939,0.623584,0.804323
0.527992,0.623495,0.804146
0.527939,0.623495,0.804092
0.527974,0.623548,0.804199
0.526837,0.622411,0.802973
0.527104,0.622713,0.803311
0.527939,0.623512,0.804110
0.528045,0.623601,0.804234
0.528098,0.623637,0.804270
0.528081,0.623637,0.804217
0.528045,0.623584,0.804163
0.527992,0.623548,0.804110
0.528081,0.623601,0.804181
0.528116,0.623601,0.804181
0.528116,0.623584,0.804181
0.528116,0.623584,0.804128
0.528170,0.623637,0.804199
0.528045,0.623566,0.804092
0.526109,0.621896,0.802458
0.526162,0.622127,0.802689
0.525505,0.621452,0.801943
0.526074,0.622092,0.802725
0.526535,0.622500,0.803080
0.524511,0.620742,0.801268
0.525825,0.621790,0.802334
0.524599,0.620706,0.801126
0.524582,0.620795,0.801286
0.524280,0.620404,0.800877
0.525665,0.621594,0.801996
0.525541,0.621505,0.801890
0.525701,0.621523,0.801979
0.527548,0.623584,0.804288
0.524315,0.620422,0.800913
0.524813,0.620617,0.801020
0.524067,0.620120,0.800522
0.525665,0.621488,0.801854
0.525701,0.621576,0.801908
0.526695,0.622429,0.802849
0.526145,0.622038,0.802440
0.526038,0.621896,0.802334
0.527122,0.622713,0.803115
0.527654,0.623211,0.803595
0.526340,0.622092,0.802210
0.526269,0.622021,0.802423
0.531224,0.626425,0.807218
0.527992,0.623406,0.803844
0.527850,0.623211,0.803630
0.527583,0.622980,0.803417
0.527725,0.622891,0.803328
0.527495,0.623104,0.803506
0.528187,0.623761,0.804323
0.526518,0.622145,0.802529
0.526820,0.622482,0.802760
0.527637,0.623086,0.803435
0.527725,0.623193,0.803524
0.526713,0.622287,0.802618
0.526820,0.622447,0.802778
0.527512,0.622997,0.803364
0.527193,0.622713,0.803080
0.527530,0.622962,0.803275
0.527068,0.622624,0.802902
0.526589,0.622234,0.802529
0.525701,0.621523,0.801819
0.526127,0.621932,0.802138
0.525150,0.621168,0.801286
0.524599,0.620546,0.800789
0.525630,0.621417,0.801712
0.525434,0.621186,0.801446
0.525417,0.620973,0.801268
0.525488,0.621061,0.801268
0.526056,0.621630,0.801748
0.525861,0.621452,0.801677
0.526571,0.622109,0.802281
0.525967,0.621541,0.801694
0.526571,0.622180,0.802263
0.526518,0.622074,0.802298
0.525985,0.621648,0.801819
0.525505,0.621239,0.801357
0.524972,0.620848,0.800895
0.523782,0.619765,0.799829
0.523925,0.619729,0.799865
0.523729,0.619623,0.799652
0.523658,0.619889,0.799776
0.522912,0.619196,0.799190
0.522024,0.618450,0.798409
0.523409,0.619534,0.799616
0.523303,0.619481,0.799599
0.523694,0.619836,0.800096
0.523090,0.618930,0.798941
0.524049,0.619942,0.799954
0.523054,0.619143,0.799172
0.522610,0.618823,0.798817
0.522148,0.618397,0.798302
0.524386,0.620280,0.800220
0.523338,0.619374,0.799385
0.524635,0.620404,0.800362
0.524173,0.620085,0.800114
0.524404,0.620298,0.800309
0.523818,0.619765,0.799758
